       y+            Prod.           Diss.       Turb_Diff.     Mole_Diff.        Res.    
   0.200490e+03   0.758549e-02  -0.824445e-02   0.472681e-03   0.165026e-04  -0.169773e-03
   0.202592e+03   0.745901e-02  -0.809977e-02   0.475366e-03   0.140701e-04  -0.151322e-03
   0.204695e+03   0.734342e-02  -0.796096e-02   0.464750e-03   0.182567e-04  -0.134536e-03
   0.206801e+03   0.722850e-02  -0.782437e-02   0.452359e-03   0.230581e-04  -0.120451e-03
   0.208907e+03   0.710845e-02  -0.768762e-02   0.447329e-03   0.223739e-04  -0.109466e-03
   0.211014e+03   0.698191e-02  -0.755091e-02   0.450562e-03   0.175966e-04  -0.100839e-03
   0.213122e+03   0.684836e-02  -0.741592e-02   0.458891e-03   0.151201e-04  -0.935408e-04
   0.215232e+03   0.670784e-02  -0.728387e-02   0.470829e-03   0.183848e-04  -0.868151e-04
   0.217343e+03   0.656241e-02  -0.715439e-02   0.489524e-03   0.220219e-04  -0.804378e-04
   0.219456e+03   0.641501e-02  -0.702651e-02   0.515976e-03   0.212025e-04  -0.743250e-04
   0.221568e+03   0.626717e-02  -0.690016e-02   0.546209e-03   0.187038e-04  -0.680845e-04
   0.223682e+03   0.612102e-02  -0.677594e-02   0.578524e-03   0.144444e-04  -0.619515e-04
   0.225797e+03   0.598089e-02  -0.665478e-02   0.608752e-03   0.832574e-05  -0.568128e-04
   0.227913e+03   0.584881e-02  -0.653724e-02   0.630135e-03   0.562114e-05  -0.526754e-04
   0.230029e+03   0.572207e-02  -0.642258e-02   0.644274e-03   0.718027e-05  -0.490572e-04
   0.232146e+03   0.559688e-02  -0.631017e-02   0.657845e-03   0.994850e-05  -0.454936e-04
   0.234264e+03   0.547158e-02  -0.619983e-02   0.675280e-03   0.109906e-04  -0.419815e-04
   0.236382e+03   0.534653e-02  -0.609164e-02   0.697052e-03   0.929992e-05  -0.387585e-04
   0.238502e+03   0.522376e-02  -0.598627e-02   0.721329e-03   0.565806e-05  -0.355201e-04
   0.240621e+03   0.510609e-02  -0.588456e-02   0.743970e-03   0.242944e-05  -0.320673e-04
   0.242742e+03   0.499425e-02  -0.578653e-02   0.760353e-03   0.375505e-05  -0.281705e-04
   0.244863e+03   0.488537e-02  -0.568981e-02   0.771790e-03   0.886158e-05  -0.237864e-04
   0.246984e+03   0.477511e-02  -0.559116e-02   0.784267e-03   0.123855e-04  -0.194021e-04
   0.249106e+03   0.466090e-02  -0.549046e-02   0.800005e-03   0.145800e-04  -0.149731e-04
   0.251229e+03   0.454310e-02  -0.538915e-02   0.820320e-03   0.150063e-04  -0.107230e-04
   0.253351e+03   0.442431e-02  -0.528911e-02   0.847069e-03   0.103245e-04  -0.740898e-05
   0.255475e+03   0.430778e-02  -0.519267e-02   0.875155e-03   0.494737e-05  -0.478189e-05
   0.257598e+03   0.419436e-02  -0.509995e-02   0.900704e-03   0.171195e-05  -0.317516e-05
   0.259723e+03   0.408195e-02  -0.501019e-02   0.924490e-03   0.145048e-05  -0.230044e-05
   0.261847e+03   0.396906e-02  -0.492297e-02   0.949516e-03   0.256879e-05  -0.182597e-05
   0.263971e+03   0.385607e-02  -0.483784e-02   0.976451e-03   0.379229e-05  -0.152765e-05
   0.266096e+03   0.374326e-02  -0.475469e-02   0.100472e-02   0.543582e-05  -0.128176e-05
   0.268222e+03   0.362973e-02  -0.467321e-02   0.103460e-02   0.773391e-05  -0.114325e-05
   0.270348e+03   0.351425e-02  -0.459307e-02   0.106618e-02   0.112651e-04  -0.137167e-05
   0.272474e+03   0.339702e-02  -0.451425e-02   0.109886e-02   0.164132e-04  -0.196134e-05
   0.274600e+03   0.328006e-02  -0.443616e-02   0.113204e-02   0.212835e-04  -0.277774e-05
   0.276727e+03   0.316509e-02  -0.435819e-02   0.116614e-02   0.235197e-04  -0.344031e-05
   0.278853e+03   0.305318e-02  -0.428100e-02   0.120277e-02   0.214811e-04  -0.356991e-05
   0.280981e+03   0.294581e-02  -0.420591e-02   0.124134e-02   0.155967e-04  -0.316473e-05
   0.283108e+03   0.284365e-02  -0.413397e-02   0.127779e-02   0.101759e-04  -0.234388e-05
   0.285236e+03   0.274500e-02  -0.406504e-02   0.130984e-02   0.892151e-05  -0.128201e-05
   0.287363e+03   0.264738e-02  -0.399815e-02   0.134013e-02   0.102241e-04  -0.415727e-06
   0.289492e+03   0.255002e-02  -0.393308e-02   0.137060e-02   0.125266e-04   0.671566e-07
   0.291620e+03   0.245381e-02  -0.387034e-02   0.140113e-02   0.155225e-04   0.121921e-06
   0.293748e+03   0.235979e-02  -0.381009e-02   0.143219e-02   0.178572e-04  -0.248401e-06
   0.295876e+03   0.226838e-02  -0.375223e-02   0.146393e-02   0.191887e-04  -0.728045e-06
   0.298005e+03   0.217945e-02  -0.369647e-02   0.149546e-02   0.205634e-04  -0.997143e-06
   0.300134e+03   0.209266e-02  -0.364201e-02   0.152651e-02   0.218853e-04  -0.951995e-06
   0.302263e+03   0.200778e-02  -0.358795e-02   0.155784e-02   0.214354e-04  -0.895678e-06
   0.304393e+03   0.192496e-02  -0.353405e-02   0.158897e-02   0.190032e-04  -0.112004e-05
   0.306522e+03   0.184486e-02  -0.348079e-02   0.161847e-02   0.156708e-04  -0.178844e-05
   0.308651e+03   0.176809e-02  -0.342896e-02   0.164414e-02   0.138076e-04  -0.292154e-05
   0.310781e+03   0.169466e-02  -0.337883e-02   0.166565e-02   0.140498e-04  -0.447116e-05
   0.312911e+03   0.162426e-02  -0.333012e-02   0.168510e-02   0.143852e-04  -0.638026e-05
   0.315042e+03   0.155664e-02  -0.328285e-02   0.170305e-02   0.146391e-04  -0.852414e-05
   0.317172e+03   0.149143e-02  -0.323681e-02   0.171911e-02   0.154845e-04  -0.107884e-04
   0.319302e+03   0.142793e-02  -0.319113e-02   0.173491e-02   0.151038e-04  -0.131912e-04
   0.321433e+03   0.136543e-02  -0.314598e-02   0.175139e-02   0.135734e-04  -0.155811e-04
   0.323563e+03   0.130360e-02  -0.310257e-02   0.176725e-02   0.139948e-04  -0.177166e-04
   0.325694e+03   0.124244e-02  -0.306120e-02   0.178213e-02   0.170306e-04  -0.195930e-04
   0.327826e+03   0.118190e-02  -0.302124e-02   0.179801e-02   0.200365e-04  -0.212941e-04
   0.329956e+03   0.112160e-02  -0.298241e-02   0.181702e-02   0.208041e-04  -0.229867e-04
   0.332088e+03   0.106104e-02  -0.294513e-02   0.183979e-02   0.194293e-04  -0.248661e-04
   0.334219e+03   0.999993e-03  -0.290996e-02   0.186559e-02   0.173168e-04  -0.270649e-04
   0.336350e+03   0.938741e-03  -0.287710e-02   0.189209e-02   0.166457e-04  -0.296180e-04
   0.338482e+03   0.877838e-03  -0.284584e-02   0.191762e-02   0.179049e-04  -0.324726e-04
   0.340614e+03   0.817965e-03  -0.281529e-02   0.194295e-02   0.186791e-04  -0.356935e-04
   0.342745e+03   0.759777e-03  -0.278572e-02   0.196850e-02   0.182077e-04  -0.392348e-04
   0.344878e+03   0.703690e-03  -0.275816e-02   0.199349e-02   0.178612e-04  -0.431217e-04
   0.347010e+03   0.649847e-03  -0.273320e-02   0.201702e-02   0.188137e-04  -0.475241e-04
   0.349142e+03   0.598286e-03  -0.271073e-02   0.203851e-02   0.214176e-04  -0.525108e-04
   0.351274e+03   0.549073e-03  -0.269003e-02   0.205819e-02   0.248635e-04  -0.579044e-04
